Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,28,24,4,85.7%,66-12,84.6%,454-271,62.6%,8-3,72.7%,22,91.0%,32.0%,7.0%,1.5%,61.4%,77.0%,59.8%,70.4%,42.8%,55.9%,1.45,W (Australian Open)
2024,81,74,7,91.4%,176-34,83.8%,1223-798,60.5%,25-8,75.8%,79,91.5%,28.3%,9.9%,2.4%,61.6%,79.3%,57.8%,71.1%,40.9%,55.3%,1.41,W (8x)
2023,84,66,18,78.6%,149-56,72.7%,1147-825,58.2%,18-13,58.1%,79,87.3%,28.6%,8.2%,2.4%,59.8%,76.0%,56.1%,68.0%,40.6%,53.9%,1.27,W (4x)
2022,64,47,17,73.4%,118-54,68.6%,924-745,55.4%,16-7,69.6%,61,83.4%,26.5%,7.6%,3.4%,58.4%,74.5%,53.4%,65.7%,39.9%,52.6%,1.16,W (Umag)
2021,72,50,22,69.4%,112-64,63.6%,956-812,54.1%,22-14,61.1%,70,81.0%,27.0%,5.9%,2.5%,59.9%,71.1%,54.4%,64.4%,39.9%,52.0%,1.12,W (4x)
2020,31,20,11,64.5%,49-28,63.6%,408-337,54.8%,6-6,50.0%,30,80.3%,28.3%,4.2%,2.8%,61.3%,71.2%,50.0%,63.0%,40.8%,51.9%,1.10,W (Sofia)
2019,21,11,10,52.4%,16-25,39.0%,174-203,46.2%,0-6,0.0%,21,77.2%,23.5%,5.6%,2.6%,59.3%,69.7%,52.8%,62.8%,37.1%,49.7%,1.00,W (NextGen Finals)
Career,381,292,89,76.6%,686-273,71.5%,5286-3991,57.0%,95-57,62.5%,362,85.5%,27.8%,7.4%,2.6%,60.2%,74.8%,55.2%,67.0%,40.4%,53.4%,1.22,
