Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,xAG,xG+xAG,npxG,npxG+xAG
37,Emam Ashour,eg EGY,MF,eg Al Ahly,27-122,1998,1,1,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
38,Kristjan Asllani,al ALB,MF,it Inter,23-105,2002,1,1,67,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
39,Otavio Ataide,br BRA,DF,pt Porto,23-062,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
40,Marwan Attia,eg EGY,MF,eg Al Ahly,26-314,1998,2,2,180,2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,,,,
41,Yahya Attiat Allah,ma MAR,DF,eg Al Ahly,30-112,1995,1,1,86,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
42,Bathusi Aubaas,za RSA,MF,za Sundowns,30-039,1995,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
43,Carlos Augusto,br BRA,MF,it Inter,26-166,1999,1,1,68,0.8,0,1,1,0,0,0,0,0,0,1.32,1.32,0,1.32,Matches,,,,
44,Fredrik Aursnes,no NOR,"MF,DF",pt Benfica,29-194,1995,2,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
45,Tomás Avilés,ar ARG,DF,us Inter Miami,21-139,2004,2,1,73,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
46,Stephane Aziz Ki,bf BFA,MF,ma Wydad AC,29-111,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
47,Adam Aznou,ma MAR,DF,de Bayern Munich,19-020,2006,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
48,Edmund Baidoo,gh GHA,FW,at RB Salzburg,19-143,2006,1,1,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
49,Adrian Bajrami,al ALB,DF,pt Benfica,23-078,2002,1,0,5,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
50,Reed Baker-Whiting,us USA,DF,us Seattle Sounders,20-083,2005,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
51,Danilo Barbosa,br BRA,"DF,MF",br Botafogo (RJ),29-114,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
52,Alexander Barboza,ar ARG,DF,br Botafogo (RJ),30-098,1995,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
53,Bradley Barcola,fr FRA,"FW,MF",fr Paris S-G,22-293,2002,1,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
54,Nicolò Barella,it ITA,MF,it Inter,28-135,1997,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
55,Leandro Barreiro Martins,lu LUX,MF,pt Benfica,25-170,2000,2,1,91,1,2,0,2,2,0,0,0,0,1.98,0,1.98,1.98,1.98,Matches,,,,
56,Pablo Barrios,es ESP,MF,es Atlético Madrid,22-007,2003,2,2,159,1.8,2,0,2,2,0,0,0,0,1.13,0,1.13,1.13,1.13,Matches,,,,
57,Alessandro Bastoni,it ITA,DF,it Inter,26-070,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
58,Rodrigo Battaglia,ar ARG,MF,ar Boca Juniors,33-345,1991,2,2,180,2,1,0,1,1,0,0,0,0,0.5,0,0.5,0.5,0.5,Matches,,,,
59,Alán Bautista,mx MEX,MF,mx Pachuca,22-228,2002,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
60,Paulo Baya,br BRA,MF,br Fluminense,25-331,1999,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
61,Ahmed Beckham,eg EGY,DF,eg Al Ahly,28-091,1997,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
62,Youcef Belaïli,dz ALG,MF,tn Espérance Tunis,33-100,1992,2,2,179,2,1,0,1,1,0,0,2,0,0.5,0,0.5,0.5,0.5,Matches,,,,
63,Adam Bell,nz NZL,DF,nz Auckland City,21-130,2004,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
64,Jon Bell,jm JAM,DF,us Seattle Sounders,27-300,1997,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
65,Jobe Bellingham,eng ENG,MF,de Dortmund,19-272,2005,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
66,Jude Bellingham,eng ENG,MF,es Real Madrid,21-358,2003,1,1,83,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
67,Tomás Belmonte,ar ARG,MF,ar Boca Juniors,27-026,1998,2,1,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
68,Andrea Belotti,it ITA,FW,pt Benfica,31-184,1993,1,0,26,0.3,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches,,,,
69,Mohamed Ben Ali,tn TUN,DF,tn Espérance Tunis,30-126,1995,2,2,173,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
70,Bechir Ben Said,tn TUN,GK,tn Espérance Tunis,32-205,1992,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
71,Achraf Bencharki,ma MAR,FW,eg Al Ahly,30-271,1994,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
72,Ramy Bensebaini,dz ALG,DF,de Dortmund,30-067,1995,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
73,Lucas Beraldo,br BRA,DF,fr Paris S-G,21-210,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
74,Germán Berterame,mx MEX,FW,mx Monterrey,26-221,1998,1,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
75,Myer Bevan,nz NZL,FW,nz Auckland City,28-060,1997,2,2,162,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
76,Mads Bidstrup,dk DEN,MF,at RB Salzburg,24-117,2001,1,1,90,1,0,1,1,0,0,0,0,0,0,1,1,0,1,Matches,,,,
77,Lautaro Blanco,ar ARG,DF,ar Boca Juniors,26-123,1999,2,2,180,2,0,1,1,0,0,0,0,0,0,0.5,0.5,0,0.5,Matches,,,,
78,Oscar Bobb,no NOR,"FW,MF",eng Manchester City,21-345,2003,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
79,Sacha Boey,fr FRA,DF,de Bayern Munich,24-282,2000,1,1,90,1,1,1,2,1,0,0,0,0,1,1,2,1,2,Matches,,,,
80,Darijan Bojanić,se SWE,MF,kr Ulsan HD,30-176,1994,1,1,72,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
81,Gonçalo Borges,pt POR,MF,pt Porto,24-085,2001,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
82,Miguel Borja,co COL,FW,ar River Plate,32-147,1993,1,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
83,Denis Bouanga,ga GAB,FW,us LAFC,30-223,1994,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0,Matches,,,,
84,Raed Bouchniba,tn TUN,DF,tn Espérance Tunis,21-270,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
85,Yassine Bounou,ma MAR,GK,sa Al-Hilal,34-078,1991,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
86,Abdelmounaim Boutouil,ma MAR,DF,ma Wydad AC,27-164,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
87,Nikko Boxall,nz NZL,DF,nz Auckland City,33-118,1992,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
88,Danilo Boza,br BRA,DF,jp Urawa Reds,27-047,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
89,Malcom Braida,ar ARG,"DF,FW",ar Boca Juniors,28-036,1997,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
90,Julian Brandt,de GER,MF,de Dortmund,29-051,1996,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
91,Bruma,pt POR,FW,pt Benfica,30-241,1994,1,1,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
92,Sergio Busquets,es ESP,MF,us Inter Miami,36-341,1988,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
93,Arthur Cabral,br BRA,FW,br Botafogo (RJ),27-058,1998,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
94,Moisés Caicedo,ec ECU,MF,eng Chelsea,23-232,2001,2,2,172,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
95,Andrea Cambiaso,it ITA,MF,it Juventus,25-122,2000,1,1,45,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
96,Sergio Canales,es ESP,MF,mx Monterrey,34-126,1991,1,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
97,João Cancelo,pt POR,DF,sa Al-Hilal,31-026,1994,1,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
98,Germán Cano,ar ARG,FW,br Fluminense,37-140,1988,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
99,Agustín Canobbio,uy URU,FW,br Fluminense,26-264,1998,1,1,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
100,Álvaro Carreras,es ESP,DF,pt Benfica,22-091,2003,2,2,135,1.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,,,
101,Milton Casco,ar ARG,DF,ar River Plate,37-072,1988,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
102,Kevin Castaño,co COL,MF,ar River Plate,24-266,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
103,Murilo Cerqueira,br BRA,DF,br Palmeiras,28-087,1997,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
104,Nassim Chadli,fr FRA,MF,ae Al Ain FC,23-329,2001,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
105,Trevoh Chalobah,eng ENG,DF,eng Chelsea,25-352,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
106,Ricardo Chávez Soto,mx MEX,MF,mx Monterrey,30-215,1994,1,1,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
107,Rayan Cherki,fr FRA,MF,eng Manchester City,21-309,2003,1,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
108,Carney Chukwuemeka,eng ENG,MF,de Dortmund,21-245,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
109,Lee Chung-yong,kr KOR,MF,kr Ulsan HD,36-355,1988,1,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
110,Facundo Colidio,ar ARG,FW,ar River Plate,25-169,2000,1,1,74,0.8,1,0,1,1,0,0,0,0,1.22,0,1.22,1.22,1.22,Matches,,,,
111,Levi Colwill,eng ENG,DF,eng Chelsea,22-116,2003,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
112,Kingsley Coman,fr FRA,MF,de Bayern Munich,29-009,1996,2,2,111,1.2,2,1,3,2,0,0,0,0,1.62,0.81,2.43,1.62,2.43,Matches,,,,
113,Francisco Conceição,pt POR,MF,it Juventus,22-190,2002,1,1,90,1,2,0,2,2,0,0,1,0,2,0,2,2,2,Matches,,,,
114,Ángel Correa,ar ARG,"FW,MF",es Atlético Madrid,30-105,1995,2,0,50,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
115,Joaquín Correa,ar ARG,"FW,MF",br Botafogo (RJ),30-313,1994,1,0,45,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
116,Jordi Cortizo,mx MEX,"FW,MF",mx Monterrey,28-357,1996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
117,Alberto costa,pt POR,MF,it Juventus,21-266,2003,1,1,90,1,0,2,2,0,0,0,0,0,0,2,2,0,2,Matches,,,,
118,Ayrton Costa,ar ARG,DF,ar Boca Juniors,25-345,1999,2,2,180,2,0,1,1,0,0,0,1,0,0,0.5,0.5,0,0.5,Matches,,,,
119,Thibaut Courtois,be BEL,GK,es Real Madrid,33-042,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
120,Yan Couto,br BRA,"DF,MF",de Dortmund,23-019,2002,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
121,Ben Cremaschi,us USA,MF,us Inter Miami,20-112,2005,2,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
122,Marc Cucurella,es ESP,DF,eng Chelsea,26-335,1998,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
123,Cuiabano,br BRA,DF,br Botafogo (RJ),22-126,2003,2,0,45,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
124,Keanu Cupido,za RSA,DF,za Sundowns,27-158,1998,1,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
125,Adam Daghim,dk DEN,FW,at RB Salzburg,19-267,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,,,
126,Samuel Dahl,se SWE,DF,pt Benfica,25-110,2000,2,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
127,Danilo,br BRA,DF,br Flamengo,33-342,1991,1,1,90,1,1,0,1,1,0,0,0,0,1,0,1,1,1,Matches,,,,
